subset,algorithm,image,psnr,ssim,entropy,edge_vis,niqe,time_ms
indoor,DCP,1400_1.png,20.33498225731936,0.8986015319824219,7.670570932792287,0.46257713884992985,,36.11989999990328
indoor,DCP,1400_10.png,18.466234236278176,0.8321145176887512,7.636752021708135,0.4446107994389902,,37.15360000023793
indoor,DCP,1400_2.png,20.175613755042846,0.8915573954582214,7.671170491672994,0.4590568022440393,,35.72050000002491
indoor,DCP,1400_3.png,20.062341620881025,0.8838639855384827,7.671743912288155,0.4607538569424965,,35.8353999999963
indoor,DCP,1400_4.png,19.852364113060407,0.876772940158844,7.66805536696347,0.4571844319775596,,36.6730999999163
indoor,DCP,1400_5.png,19.699500109172675,0.8686792254447937,7.665920341382556,0.45814866760168305,,35.873499999979686
indoor,DCP,1400_6.png,19.452568328348157,0.8615993857383728,7.661074871356067,0.4539726507713885,,35.74309999976322
indoor,DCP,1400_7.png,19.265264695587902,0.8536140322685242,7.662197868331072,0.45510168302945303,,35.23649999988265
indoor,DCP,1400_8.png,19.024121021650505,0.8461933732032776,7.657671879134778,0.45315568022440395,,36.38390000014624
indoor,DCP,1400_9.png,18.72893331796182,0.8391470313072205,7.645585352809079,0.44646213183730715,,36.43500000043787
indoor,DCP,1401_1.png,20.467394896023844,0.8913249969482422,7.513204330722488,0.36852384291725104,,35.95450000011624
indoor,DCP,1401_10.png,19.92492724091757,0.8305361866950989,7.4894353946744285,0.3640603085553997,,35.60070000003179
indoor,DCP,1401_2.png,20.494402526707578,0.88372802734375,7.510118123191353,0.36904978962131835,,35.71250000004511
indoor,DCP,1401_3.png,20.451350923685855,0.8753995895385742,7.499316632452687,0.36861851332398315,,36.545899999964604
indoor,DCP,1401_4.png,20.439347974489543,0.8683387637138367,7.495454267222506,0.36850280504908833,,35.67789999988236
indoor,DCP,1401_5.png,20.410411535410606,0.8616092801094055,7.491606916628127,0.36901122019635346,,36.23490000018137
indoor,DCP,1401_6.png,20.359620504555007,0.8545036315917969,7.4915467671805605,0.36761921458625524,,35.72099999973943
indoor,DCP,1401_7.png,20.293261041075006,0.8482486605644226,7.492308504230263,0.36748948106591867,,35.40899999961766
indoor,DCP,1401_8.png,20.15289723553351,0.8418152928352356,7.4886089466880525,0.36612201963534363,,35.96019999986311
indoor,DCP,1401_9.png,20.034884041698056,0.8356676697731018,7.487904477883801,0.3639796633941094,,35.37139999980354
indoor,DCP,1402_1.png,23.08792132974105,0.8709709644317627,6.6969146328749085,0.330171809256662,,35.62049999982264
indoor,DCP,1402_10.png,22.626966328817574,0.8029437065124512,7.117376816956832,0.33422861150070127,,36.29330000012487
indoor,DCP,1402_2.png,23.197712928251434,0.8630185127258301,6.7034050535638405,0.3312973352033661,,35.05399999994552
indoor,DCP,1402_3.png,23.283753070087712,0.8552226424217224,6.7163142444493715,0.3317741935483871,,35.74780000008104
indoor,DCP,1402_4.png,23.330649633420478,0.8478217124938965,6.726442737065511,0.33198457223001404,,35.301000000345084
indoor,DCP,1402_5.png,23.34357004260992,0.8405178189277649,6.738126408513769,0.33235273492286116,,35.9958000003644
indoor,DCP,1402_6.png,23.308188228729854,0.8334922790527344,6.748811085160121,0.3317601683029453,,35.54979999989882
indoor,DCP,1402_7.png,23.052262940762876,0.8239912390708923,7.046193482994315,0.3319039270687237,,35.76089999978649
indoor,DCP,1402_8.png,22.944518907457216,0.8165040016174316,7.076279660389954,0.33334502103786817,,35.54450000001452
indoor,DCP,1402_9.png,22.80641691351184,0.8096004128456116,7.101524935870916,0.3343478260869565,,36.0142999998061
indoor,DCP,1403_1.png,26.297924139257447,0.897296667098999,6.8998866982450755,0.43495792426367463,,35.046999999849504
indoor,DCP,1403_10.png,20.2732430023377,0.8047439455986023,7.052176884311066,0.4396283309957924,,36.03740000016842
indoor,DCP,1403_2.png,25.796396299984163,0.8865950703620911,6.925581312521001,0.43726507713884993,,35.211099999742146
indoor,DCP,1403_3.png,25.12096348866505,0.8745052218437195,6.940785984849202,0.43886746143057503,,35.67350000002989
indoor,DCP,1403_4.png,24.456105260657466,0.8644936680793762,6.965244757079623,0.4407328190743338,,35.201900000174646
indoor,DCP,1403_5.png,23.751725814581306,0.8538240790367126,6.97698769926779,0.4399719495091164,,35.34800000034011
indoor,DCP,1403_6.png,23.036994685869423,0.8432118892669678,6.989609937831837,0.43931626928471246,,35.57809999983874
indoor,DCP,1403_7.png,22.323460862304994,0.8339710235595703,7.014870335040763,0.44059256661991586,,35.60410000000047
indoor,DCP,1403_8.png,21.662506533599327,0.824089527130127,7.021753794358371,0.4397931276297335,,35.35490000012942
indoor,DCP,1403_9.png,20.96950045168636,0.8173940777778625,7.06613751059523,0.4415322580645161,,35.566000000017084
indoor,DCP,1404_1.png,21.564640949860564,0.9172342419624329,6.8757753966884,0.3572650771388499,,35.30479999972158
indoor,DCP,1404_10.png,21.986762193588195,0.9010726809501648,7.005701584035516,0.3542952314165498,,35.15739999966172
indoor,DCP,1404_2.png,21.68515122703272,0.9166952967643738,6.872150288149859,0.35691444600280503,,35.55099999994127
indoor,DCP,1404_3.png,21.795777044873642,0.9159379005432129,6.864933638522355,0.3562026647966339,,35.92000000026019
indoor,DCP,1404_4.png,21.714210517898668,0.9120633602142334,7.191883403355923,0.35691444600280503,,35.866100000021106
indoor,DCP,1404_5.png,21.813605096430223,0.9103584885597229,7.203648809579449,0.35763323983169704,,37.02369999973598
indoor,DCP,1404_6.png,21.886574589053343,0.9084022641181946,7.168445617313646,0.35835203366058904,,35.7491999998274
indoor,DCP,1404_7.png,21.9606143644854,0.9068238735198975,7.098544700514281,0.3575946704067321,,35.607400000117195
indoor,DCP,1404_8.png,21.996602411680612,0.9047737717628479,7.044308125415248,0.3572054698457223,,36.48699999985183
indoor,DCP,1404_9.png,22.007026317391304,0.903038740158081,7.009832955637714,0.35575736325385693,,34.902100000181235
indoor,DCP,1405_1.png,18.925764319228435,0.9184198379516602,7.159305492564353,0.36603786816269285,,35.08740000006583
indoor,DCP,1405_10.png,20.3839907954465,0.9064036011695862,7.25420614198672,0.35685483870967744,,35.76730000031603
indoor,DCP,1405_2.png,19.125324653047723,0.9177380204200745,7.166579981790718,0.36445652173913046,,35.45669999994061
indoor,DCP,1405_3.png,19.333013383025037,0.9170926213264465,7.175178354843002,0.36235974754558203,,34.87749999976586
indoor,DCP,1405_4.png,19.53708753917914,0.9160208106040955,7.1845454518129275,0.36158134642356243,,36.882800000057614
indoor,DCP,1405_5.png,19.572311248216145,0.9127724766731262,7.345081909557398,0.36149368863955117,,35.43440000021292
indoor,DCP,1405_6.png,19.772562657871685,0.9120895266532898,7.212902415293076,0.35926367461430575,,35.56839999964723
indoor,DCP,1405_7.png,19.948417021916033,0.9108393788337708,7.2246906125219725,0.35899368863955117,,35.49190000012459
indoor,DCP,1405_8.png,20.113163408607626,0.9095866680145264,7.2359062050529666,0.3583765778401122,,35.24220000008427
indoor,DCP,1405_9.png,20.256510532542457,0.9080808758735657,7.24346936780791,0.35712482468443196,,35.91120000010051
indoor,DCP,1406_1.png,20.650269321370544,0.9210960865020752,7.169741645167642,0.3714586255259467,,35.67329999987123
indoor,DCP,1406_10.png,20.215145142716636,0.8925700187683105,7.3516128012105755,0.3611886395511921,,36.50809999999183
indoor,DCP,1406_2.png,20.70435770085663,0.9195046424865723,7.156370411578952,0.37119565217391304,,35.42730000026495
indoor,DCP,1406_3.png,20.72538565348447,0.9172954559326172,7.1454447422319385,0.3699088359046283,,35.874300000159565
indoor,DCP,1406_4.png,20.726745699410966,0.9146668314933777,7.141926589631638,0.3684081346423562,,35.50580000000991
indoor,DCP,1406_5.png,20.712542388971062,0.9117753505706787,7.138090784359121,0.36782608695652175,,35.31670000029408
indoor,DCP,1406_6.png,20.665620988392412,0.9086248278617859,7.1277925837679055,0.36674964936886395,,36.46969999999783
indoor,DCP,1406_7.png,20.608168678988616,0.905385434627533,7.11895794943154,0.3648352033660589,,35.944499999914115
indoor,DCP,1406_8.png,20.526852761512075,0.9020541310310364,7.11350256116469,0.3626998597475456,,35.61169999966296
indoor,DCP,1406_9.png,20.4247015821842,0.8986006379127502,7.116657033698077,0.3611570827489481,,35.298900000270805
indoor,DCP,1407_1.png,17.199394391865894,0.9056291580200195,7.7019194392963675,0.502086255259467,,34.9356000001535
indoor,DCP,1407_10.png,18.315196760586005,0.9005722999572754,7.66557721483583,0.49850280504908834,,35.550599999623955
indoor,DCP,1407_2.png,17.332588456225118,0.9053652882575989,7.697633458607258,0.5020196353436185,,35.32879999966099
indoor,DCP,1407_3.png,17.458809937873752,0.9050087928771973,7.6928924128405285,0.5025070126227209,,35.4232999998203
indoor,DCP,1407_4.png,17.593561856949396,0.9047021865844727,7.689393074870943,0.5017987377279103,,36.87930000023698
indoor,DCP,1407_5.png,17.723998690601523,0.9041340947151184,7.685035183616263,0.5013990182328191,,35.63899999971909
